user_id,movie_id,rev_rating,rev_comment
3,1,9,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies
426,1,7,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China
500,1,0,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory
43,1,8,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank
261,1,5,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico
6,1,1,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China
473,1,9,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat
464,1,7,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India
282,1,6,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat
94,1,6,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China
599,2,1,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention
55,2,1,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia
595,2,9,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies
480,2,6,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia
332,3,1,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention
295,3,6,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans
371,3,1,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House
552,3,7,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies
115,3,1,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon
29,4,8,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon
132,4,1,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank
387,4,3,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California
570,4,8,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia
215,4,1,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert
160,5,2,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin
112,5,7,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park
85,5,2,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank
300,5,8,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park
392,5,3,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India
3,6,9,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House
174,6,6,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat
516,6,5,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park
350,6,7,A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft
543,6,10,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria
21,6,4,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station
305,6,7,A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft
53,7,8,A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery
299,7,0,A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert
162,7,3,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft
301,7,1,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria
140,7,2,A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin
217,8,2,A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California
371,8,8,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank
209,8,8,A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft
83,8,9,A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan
123,9,3,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert
156,9,4,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft
527,9,8,A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery
252,9,5,A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat
157,9,5,A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery
323,9,3,A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station
22,9,8,A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California
45,9,1,A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park
302,9,2,A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station
49,10,3,A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery
96,10,2,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park
391,10,4,A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat
210,10,2,A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia
231,10,3,A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station
120,10,3,A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China
409,10,3,A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft
